Player,Team,Position,Secondary Position,Nation,Age,90s Played,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Maximiliano Meza,Monterrey,MF,FW,ARG,30.0,22.3,0.27,0.18,0.21,0.23,38.3,3.85,0.45,51.5,75.3,87.7,79.2,54.7,47.6,0.81,0.09,0.28,0.07,0.41,0.45,9.6,6.68,0.0,0.67,1.3,3.99,34.44,595.61,180.85,1.52,-0.05,0.13,0.58,4.35,58.7,3.77,35.61,113.36
Omar Govea,Monterrey,MF,,MEX,27.0,18.0,0.0,0.22,0.02,0.09,31.3,2.16,0.39,58.6,89.9,93.3,94.8,72.1,54.5,0.11,0.0,0.0,0.04,0.11,0.22,1.28,7.44,0.06,1.17,1.0,6.67,67.0,1255.67,378.56,1.06,0.13,0.06,0.22,2.11,82.61,0.61,45.83,99.33
Rogelio Funes Mori,Monterrey,FW,,MEX,32.0,11.4,0.53,0.18,0.45,0.06,20.0,1.67,0.35,55.6,81.0,84.9,85.7,75.0,12.5,0.97,0.26,0.55,0.19,0.44,0.7,6.75,1.84,0.0,0.09,0.09,1.23,15.0,243.16,33.25,0.53,0.11,0.0,0.09,0.35,26.32,0.7,12.81,22.02
Sebastián Vegas,Monterrey,DF,,CHI,26.0,23.9,0.04,0.08,0.07,0.03,42.0,0.96,0.13,51.9,81.0,92.0,85.5,52.8,42.9,0.13,0.05,0.33,0.08,0.1,0.13,1.76,3.14,0.0,1.21,1.26,3.68,42.43,788.62,295.56,0.46,0.05,0.04,0.29,1.21,62.89,0.59,32.47,88.33
Sergio Canales,Monterrey,MF,FW,ESP,32.0,16.0,0.63,0.25,0.37,0.15,35.3,3.95,0.63,27.8,78.7,89.8,85.7,47.4,55.0,0.94,0.19,0.53,0.1,0.42,0.88,6.75,7.0,0.0,0.38,0.44,4.12,44.62,747.5,179.06,1.94,0.09,0.31,0.25,4.69,65.25,1.25,36.75,99.62
Stefan Medina,Monterrey,DF,,COL,31.0,16.5,0.06,0.0,0.07,0.04,64.9,1.89,0.18,61.1,84.8,91.5,88.0,60.6,50.0,0.06,0.1,1.0,0.12,0.11,0.06,4.55,4.73,0.0,1.45,1.64,4.55,49.7,873.82,311.64,0.73,-0.04,0.06,0.42,2.3,69.39,0.97,32.73,85.33
Víctor Guzmán,Monterrey,DF,,MEX,21.0,25.9,0.0,0.0,0.03,0.0,90.0,0.35,0.04,55.8,87.2,92.3,90.2,69.3,52.9,0.0,0.0,0.0,0.1,0.04,0.0,0.04,2.9,0.08,1.7,0.89,4.4,43.51,857.41,376.37,0.08,-0.0,0.04,0.15,0.04,59.46,0.66,29.92,88.57
Érick Aguirre,Monterrey,DF,,MEX,26.0,16.7,0.0,0.12,0.01,0.11,68.6,2.69,0.24,55.9,80.9,91.6,82.5,53.1,62.5,0.0,0.0,0.0,0.06,0.12,0.12,6.77,4.73,0.0,1.32,2.1,4.91,40.72,699.22,289.64,1.26,0.01,0.0,0.12,3.35,59.94,0.48,24.79,50.9
Camilo Sanvezzo,Queretaro,FW,MF,BRA,35.0,6.6,0.3,0.0,0.49,0.13,25.0,2.87,0.15,53.3,68.4,69.8,78.0,70.0,66.7,1.06,0.08,0.29,0.1,0.5,0.3,3.64,2.88,0.0,0.15,0.45,4.7,13.79,227.27,52.73,1.21,-0.14,0.15,0.15,0.45,32.12,2.27,18.79,46.36
Emanuel Gularte,Queretaro,DF,,URU,25.0,32.1,0.06,0.09,0.08,0.01,59.4,0.87,0.09,55.0,71.1,81.8,83.7,49.4,73.3,0.22,0.08,0.29,0.1,0.09,0.16,0.37,1.99,0.03,1.15,1.03,4.98,20.34,464.52,205.79,0.19,0.08,0.03,0.5,0.34,40.06,0.47,16.82,52.9
