Player,Position,Nation,Age,Team,90s Played,Save %,Position,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
José Antonio Rodríguez,GK,MEX,31.0,Tijuana,27.5,68.1,GK,28.0,28.0,1.67,138.0,92.0,7.0,10.7,33.3,46.5,0.33,0.05,43.9,35.0,5.1,0.84,14.6,0.25,1.69,3.35,5.02,0.33,,0.0,0.0,0.0,0.0,100.0,0.22,0.0,100.0,75.2,100.0,99.3,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,1.45,22.69,686.36,519.09,0.0,0.0,0.0,0.0,0.0,32.25,0.0,16.65,47.85
José Corona,GK,MEX,42.0,Tijuana,6.5,72.7,GK,7.0,6.0,1.54,33.0,23.0,1.0,16.7,0.0,9.5,0.26,-0.08,44.3,32.1,2.6,0.62,12.8,0.15,1.46,3.54,5.08,0.3,,0.0,0.0,0.0,0.0,0.0,0.15,0.0,100.0,75.1,96.2,98.7,53.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.92,24.15,724.31,561.38,0.0,0.0,0.0,0.0,0.0,34.0,0.0,17.54,52.0
Esteban Andrada,GK,ARG,32.0,Monterrey,32.0,76.8,GK,32.0,32.0,1.0,125.0,93.0,18.0,34.4,25.0,36.2,0.26,0.16,48.3,31.0,9.7,1.19,14.3,0.56,1.13,2.91,3.91,0.26,,0.0,0.0,0.0,0.0,0.0,0.37,0.06,95.2,81.2,99.4,98.4,60.5,60.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.06,0.0,0.03,1.06,34.59,960.06,708.12,0.09,-0.0,0.0,0.09,0.0,44.53,0.16,26.47,104.06
Fernando Tapia,GK,MEX,22.0,Queretaro,14.2,74.7,GK,15.0,14.0,1.62,79.0,55.0,4.0,21.4,25.0,26.3,0.28,0.23,31.3,46.7,4.5,0.28,9.6,0.28,1.85,3.87,5.56,0.29,,0.0,0.0,0.0,0.0,0.0,0.42,0.0,0.0,47.6,100.0,98.3,34.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,1.41,13.17,517.39,446.97,0.14,0.0,0.0,0.0,0.0,30.49,0.07,14.51,59.08
Guillermo Allison,GK,MEX,32.0,Queretaro,19.8,78.4,GK,20.0,20.0,1.36,111.0,84.0,7.0,25.0,25.0,32.1,0.26,0.31,41.1,44.3,4.5,0.3,11.0,0.35,1.62,4.24,5.61,0.24,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,50.0,58.2,100.0,97.1,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.71,17.53,721.92,628.54,0.0,0.0,0.0,0.0,0.0,32.53,0.0,14.85,66.31
Alfredo Talavera,GK,MEX,40.0,FC Juarez,16.3,65.1,GK,17.0,17.0,2.02,86.0,53.0,5.0,0.0,0.0,29.5,0.32,-0.21,33.5,35.0,3.4,0.55,13.5,0.31,1.81,3.25,5.28,0.38,,0.0,0.0,0.0,0.0,0.0,0.18,0.0,66.7,69.8,100.0,98.2,44.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,1.9,23.5,653.87,486.81,0.0,0.0,0.0,0.18,0.0,35.71,0.06,18.04,53.19
Benny Díaz,GK,MEX,24.0,FC Juarez,4.0,56.3,GK,4.0,4.0,1.75,16.0,9.0,3.0,0.0,0.0,3.3,0.21,-0.92,38.8,39.6,2.1,0.75,15.2,0.75,0.82,2.25,4.0,0.44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.6,100.0,100.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,1.25,19.25,648.0,470.75,0.0,0.0,0.0,0.0,0.0,28.75,0.0,15.75,36.0
Sebastián Jurado,GK,MEX,25.0,FC Juarez,13.0,67.8,GK,13.0,13.0,1.46,59.0,40.0,1.0,15.4,100.0,20.1,0.34,0.16,28.7,31.5,3.4,0.31,11.4,0.08,1.55,3.08,4.54,0.32,,0.0,0.0,0.0,0.0,66.7,0.08,0.0,100.0,73.6,100.0,97.3,37.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,1.46,20.85,513.54,339.08,0.0,0.0,0.0,0.0,0.0,31.0,0.08,14.46,34.38
Sebastián Jurado,GK,MEX,25.0,FC Juarez,13.0,67.8,GK,13.0,13.0,1.46,59.0,40.0,1.0,15.4,100.0,20.1,0.34,0.16,28.7,31.5,3.4,0.31,11.4,0.08,1.55,3.08,4.54,0.32,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,68.7,100.0,94.9,34.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.76,23.24,545.29,367.35,0.0,0.0,0.0,0.0,0.0,35.59,0.29,17.35,32.06
Tiago Volpi,GK,BRA,32.0,Toluca,34.0,72.8,GK,34.0,34.0,1.24,147.0,105.0,14.0,26.5,0.0,42.6,0.29,0.02,38.8,35.2,5.2,1.0,14.9,0.41,1.25,3.09,4.32,0.29,,0.26,0.0,0.26,0.0,0.0,0.12,0.03,72.7,76.8,99.3,98.8,54.4,66.7,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.09,0.06,0.0,0.03,1.09,28.47,810.15,555.53,0.03,0.0,0.0,0.15,0.0,40.03,0.09,22.35,60.26
Camilo Vargas,GK,COL,34.0,Atlas,34.0,66.7,GK,34.0,34.0,1.62,144.0,88.0,7.0,23.5,12.5,45.1,0.27,-0.29,34.9,35.2,4.5,1.12,15.1,0.21,1.33,2.59,4.24,0.38,,0.0,0.0,0.0,0.0,33.3,0.26,0.0,66.7,71.1,99.5,98.8,43.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.03,1.59,26.21,721.12,545.26,0.0,0.0,0.0,0.06,0.0,39.0,0.03,20.82,61.79
Jesús Rodríguez,GK,MEX,30.0,Puebla,34.0,68.0,GK,34.0,34.0,2.0,194.0,126.0,8.0,8.8,14.3,61.3,0.28,-0.17,44.3,30.5,5.4,0.44,12.1,0.24,1.8,3.71,5.71,0.35,,0.0,0.0,0.0,0.0,0.0,0.24,0.03,63.6,80.7,99.4,99.4,58.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,1.41,31.29,864.26,575.12,0.06,-0.0,0.0,0.06,0.0,41.15,0.03,21.15,65.88
Carlos Felipe Rodríguez,GK,MEX,34.0,UANL,10.0,69.6,GK,10.0,10.0,1.4,46.0,32.0,7.0,20.0,0.0,13.3,0.29,-0.07,30.5,32.5,2.4,0.4,12.5,0.7,1.33,3.2,4.6,0.3,,0.0,0.0,0.0,0.0,0.0,0.1,0.0,100.0,70.8,100.0,98.4,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.9,25.2,653.7,436.5,0.0,0.0,0.0,0.0,0.0,37.7,0.0,21.6,51.3
Nahuel Guzmán,GK,ARG,37.0,UANL,24.0,75.2,GK,24.0,24.0,1.13,101.0,76.0,10.0,29.2,0.0,25.8,0.24,0.04,43.1,31.9,9.2,1.88,17.3,0.42,1.08,3.17,4.21,0.27,,0.0,0.0,0.0,0.0,0.0,0.12,0.0,87.5,79.9,98.7,96.2,57.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.04,0.0,1.79,34.67,908.46,616.33,0.0,0.0,0.0,0.12,0.0,46.12,0.12,26.29,73.58
Carlos Moreno,GK,MEX,25.0,Pachuca,29.0,69.0,GK,29.0,29.0,1.52,126.0,83.0,13.0,24.1,0.0,43.7,0.31,0.02,42.0,40.6,5.8,0.79,13.4,0.45,1.51,2.86,4.34,0.35,,0.0,0.0,0.0,0.01,33.3,0.34,0.03,100.0,64.5,96.2,99.0,49.5,50.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.14,0.03,0.03,1.66,18.14,659.34,577.72,0.07,-0.01,0.0,0.0,0.0,30.24,0.07,12.76,45.28
