Player,Position,Nation,Age,Team,Conference,90s Played,Save %,Matches Played,Starts,Goals Allowed Per 90,Shots on Target Against,Saves,Wins,Clean Sheet %,PK Save %,Expected_PSxG,Expected_PSxG/SoT,PSxG-GA per 90,Pass >40 Yards Cmp%,Avg Pass Length,Crosses Stopped %,Def Actions Outside Pen Area/90,Avg Distance of Def Actions,Wins Per 90,Expected_PSxG Per 90,Saves Per 90,Shots on Target Against Per 90,GA/SoT Per 90,Secondary Position,Goals per 90,Assists Per 90,xG per 90,xAG per 90,Tackles Won %,Shot Creating Actions per 90,Goal Creating Actions per 90,Aerial Win %,Pass Completion Rate,Pass<15 Yards Comp %,Pass 15-30 Comp %,Long_Cmp%,Successful Take-On %,SoT per 90,Goals per Shot,Goals per Shot on Target,npXG per Shot,npXG+xAG per 90,Goals & Assists Per 90,Prog Passes Received Per 90,Progressive Passes Per 90,Errors Per 90,Interceptions Per 90,Tackles Won per 90,Recoveries Per 90,Passes Completed Per 90,Total Pass Distance per 90,Total Prog Pass Distance per 90,Key Passes Per 90,Assists-xAG per 90,Through Balls per 90,Switches per 90,Crosses per 90,Touches per 90,Take-Ons Attempted per 90,Carries per 90,Dribble Distance per 90
Andrew Rick,GK,USA,18.0,Philadelphia Union,E,6.0,62.5,6.0,6.0,2.0,32.0,21.0,1.0,16.7,0.0,10.9,0.34,-0.02,37.4,44.0,3.8,1.0,17.8,0.17,1.82,3.5,5.33,0.38,,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,55.9,100.0,96.8,43.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.33,15.0,559.17,451.5,0.0,0.0,0.0,0.17,0.0,29.5,0.0,12.33,51.33
Oliver Semmle,GK,GER,25.0,Philadelphia Union,E,15.6,65.4,17.0,14.0,1.85,78.0,49.0,3.0,28.6,0.0,29.3,0.36,0.02,35.4,33.7,3.4,0.77,15.8,0.19,1.88,3.14,5.0,0.37,,0.0,0.0,0.0,0.0,100.0,0.19,0.0,0.0,67.6,100.0,98.5,43.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,19.17,559.55,435.26,0.0,0.0,0.0,0.0,0.0,30.96,0.0,15.13,59.49
Elliot Panicco,GK,USA,27.0,Nashville SC,E,4.8,70.6,6.0,5.0,2.08,34.0,23.0,1.0,20.0,100.0,10.4,0.28,0.08,35.4,33.7,6.8,0.42,17.5,0.21,2.17,4.79,7.08,0.29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,62.4,100.0,93.1,44.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.83,18.33,540.42,400.0,0.0,0.0,0.0,0.0,0.0,31.88,0.0,17.08,59.38
Joe Willis,GK,USA,35.0,Nashville SC,E,29.2,68.2,30.0,29.0,1.51,132.0,91.0,8.0,27.6,0.0,39.8,0.29,-0.04,39.1,34.2,6.3,0.75,14.0,0.27,1.36,3.12,4.52,0.33,,0.0,0.0,0.0,0.02,33.3,0.1,0.0,40.0,71.8,99.3,96.5,51.2,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.03,0.03,0.03,1.03,23.05,654.45,489.97,0.03,-0.01,0.0,0.1,0.0,34.04,0.0,16.64,51.23
Aljaž Ivačič,GK,SVN,30.0,New England Revolution,E,25.0,67.1,25.0,25.0,2.24,158.0,101.0,8.0,16.0,20.0,53.2,0.31,-0.11,32.3,35.2,2.6,0.4,10.5,0.32,2.13,4.04,6.32,0.35,,0.0,0.0,0.0,0.0,100.0,0.12,0.04,100.0,68.4,97.8,99.3,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.84,21.52,631.44,443.92,0.0,0.0,0.0,0.0,0.0,34.4,0.0,17.68,47.32
Henrich Ravas,GK,SVK,26.0,New England Revolution,E,8.0,65.1,8.0,8.0,2.12,43.0,25.0,1.0,12.5,33.3,16.8,0.34,-0.03,27.8,32.4,6.1,0.25,12.4,0.12,2.1,3.12,5.38,0.39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,68.5,100.0,98.9,40.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.25,20.12,537.5,370.5,0.0,0.0,0.0,0.0,0.0,31.38,0.0,14.88,48.75
Christopher Brady,GK,USA,19.0,Chicago Fire,E,33.0,67.7,33.0,33.0,1.85,164.0,104.0,7.0,12.1,0.0,56.9,0.31,-0.09,31.7,32.3,6.8,0.94,14.6,0.21,1.72,3.15,4.97,0.37,,0.0,0.03,0.0,0.0,0.0,0.12,0.03,100.0,71.2,99.2,97.5,42.9,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.12,0.0,0.0,0.76,19.97,538.79,383.58,0.03,0.03,0.0,0.0,0.0,30.79,0.0,15.3,40.94
Hugo Lloris,GK,FRA,37.0,Los Angeles FC,W,33.0,70.0,33.0,33.0,1.21,130.0,92.0,19.0,36.4,50.0,38.2,0.28,0.04,38.1,36.0,6.1,0.79,13.8,0.58,1.16,2.79,3.94,0.31,,0.0,0.0,0.0,0.01,33.3,0.24,0.09,100.0,71.4,97.2,99.5,48.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.03,0.91,23.76,686.36,480.88,0.09,-0.01,0.0,0.03,0.0,34.97,0.0,20.21,71.45
John McCarthy,GK,USA,31.0,LA Galaxy,W,32.0,74.4,32.0,32.0,1.5,172.0,124.0,19.0,18.8,20.0,51.7,0.28,0.15,26.8,32.8,4.6,0.31,9.8,0.59,1.62,3.88,5.38,0.28,,0.0,0.0,0.0,0.01,0.0,0.16,0.0,100.0,70.4,99.4,98.1,37.3,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.09,0.0,0.0,0.62,20.56,491.03,366.31,0.03,-0.01,0.0,0.0,0.0,32.31,0.0,15.97,48.16
Gavin Beavers,GK,USA,18.0,Real Salt Lake,W,11.0,67.9,11.0,11.0,1.82,53.0,32.0,6.0,27.3,25.0,18.7,0.28,-0.12,29.2,30.2,10.5,1.27,15.6,0.55,1.7,2.91,4.82,0.38,,0.0,0.09,0.0,0.0,0.0,0.18,0.09,100.0,76.5,100.0,99.2,45.5,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.0,0.0,0.0,1.55,25.18,591.64,383.45,0.09,0.09,0.0,0.0,0.0,35.45,0.0,20.64,56.0
